geoName,MRSA,Typhoid Fever,MAC,Chlamydia,Pathogenic Fungi
Abilene-Sweetwater TX,3,0,92,5,0
Ain,0,0,99,1,0
Aisne,0,0,98,2,0
Albany GA,3,0,90,7,0
Albany-Schenectady-Troy NY,3,0,95,2,0
Albuquerque-Santa Fe NM,2,0,95,3,0
Alexandria LA,3,0,91,6,0
Allier,0,0,98,2,0
Alpena MI,0,0,100,0,0
Alpes-Maritimes,0,0,99,1,0
Alpes-de-Haute-Provence,0,0,100,0,0
Amarillo TX,3,0,93,4,0
Anchorage AK,2,0,96,2,0
Ardeche,0,0,97,3,0
Ardennes,0,0,97,3,0
Ariege,0,0,100,0,0
Atlanta GA,2,0,95,3,0
Aube,0,0,99,1,0
Aude,0,0,98,2,0
Augusta GA,4,0,90,6,0
Austin TX,1,0,97,2,0
Aveyron,0,0,98,2,0
Bakersfield CA,2,0,94,4,0
Baltimore MD,2,0,96,2,0
Bangor ME,3,0,95,2,0
Bas-Rhin,0,0,98,2,0
Baton Rouge LA,2,0,94,4,0
Beaumont-Port Arthur TX,2,0,93,5,0
Bend OR,2,0,97,1,0
"Billings, MT",4,0,93,3,0
Biloxi-Gulfport MS,2,0,93,5,0
Binghamton NY,3,0,95,2,0
Birmingham AL,2,0,94,4,0
Bluefield-Beckley-Oak Hill WV,7,0,89,4,0
Boise ID,2,0,96,2,0
Boston MA-Manchester NH,1,0,97,2,0
Bouches-du-Rhone,0,0,99,1,0
Bowling Green KY,4,0,90,6,0
Buffalo NY,3,0,94,3,0
Burlington VT-Plattsburgh NY,2,0,96,2,0
Butte-Bozeman MT,1,0,97,2,0
Calvados,0,0,99,1,0
Cantal,0,0,100,0,0
Casper-Riverton WY,4,0,93,3,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,3,0,95,2,0
Champaign & Springfield-Decatur IL,3,0,95,2,0
Charente,0,0,98,2,0
Charente-Maritime,0,0,99,1,0
Charleston SC,2,0,95,3,0
Charleston-Huntington WV,6,0,90,4,0
